Provinsi;Kab/Kota;Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen);Pengeluaran per Kapita Disesuaikan (Ribu Rupiah/Orang/Tahun);Indeks Pembangunan Manusia;Tingkat Pengangguran Terbuka;Klasifikasi Kemiskinan
PAPUA BARAT;Tambrauw;33,86;4903;53,71;1,49;1
PAPUA BARAT;Maybrat;31,39;5245;59,7;1,89;1
PAPUA BARAT;Manokwari Selatan;29,3;5505;59,85;2,9;1
PAPUA BARAT;Pegunungan Arfak;34,7;5009;56,13;0,7;0
PAPUA BARAT;Kota Sorong;15,35;13744;78,49;9,95;0
PAPUA;Merauke;10,16;10201;70,49;2,19;1
PAPUA;Jayawijaya;37,09;7545;58,67;1,62;0
PAPUA;Jayapura;12,13;9989;72,03;7,87;1
PAPUA;Nabire;23,83;8856;69,15;3,05;1
PAPUA;Kepulauan Yapen;26,09;7491;67,72;2,47;1
PAPUA;Biak Numfor;24,45;9607;72,33;9,49;1
PAPUA;Paniai;36,59;6377;56,7;0,74;1
PAPUA;Puncak Jaya;36;5289;48,99;1,74;1
PAPUA;Mimika;14,17;11400;74,48;5,37;0
PAPUA;Boven Digoel;19,9;7864;61,62;6,73;0
PAPUA;Mappi;26,05;6327;58,7;4,11;1
PAPUA;Asmat;24,83;5736;51,29;0,45;1
PAPUA;Yahukimo;37,64;4895;49,48;2,25;1
PAPUA;Pegunungan Bintang;30,46;5429;46,28;4,43;1
PAPUA;Tolikara;32,6;4841;49,6;1,12;1
PAPUA;Sarmi;13,84;6617;63,94;3,5;0
PAPUA;Keerom;16;8926;66,49;1,41;0
PAPUA;Waropen;29,85;6788;65,1;8,56;1
PAPUA;Supiori;37,91;5708;62,72;2,66;1
PAPUA;Mamberamo Raya;28,78;4603;52,18;1,91;1
PAPUA;Nduga *;37,18;3976;32,84;0;1
PAPUA;Lanny Jaya;38,73;4393;48,68;0;1
PAPUA;Mamberamo Tengah;36,76;4487;48,32;0,9;1
PAPUA;Yalimo;33,25;4664;49,01;0,41;1
PAPUA;Puncak;36,26;5412;43,17;0,94;1
PAPUA;Dogiyai;28,81;5415;55;5,68;1
PAPUA;Intan Jaya;41,66;5328;48,34;1,43;1
PAPUA;Deiyai;40,59;4673;49,96;0,79;1
PAPUA;Kota Jayapura;11,39;14937;80,11;11,67;0
